source,target,value
1,341,1
1,511,1
1,411,1
1,282,1
1,216,1
1,387,1
1,255,1
2,411,1
2,379,1
2,7,1
2,188,1
464,71,1
464,265,1
464,295,1
464,482,1
501,129,1
501,451,1
501,297,1
501,374,1
501,145,1
501,45,1
501,116,1
501,394,1
501,387,1
501,479,1
501,375,1
501,283,1
501,157,1
502,451,1
502,241,1
502,41,1
502,394,1
502,370,1
502,44,1
502,201,1
502,327,1
502,283,1
502,135,1
502,356,1
502,405,1
502,25,1
502,72,1
502,184,1
502,45,1
502,509,1
502,304,1
502,90,1
502,527,1
502,493,1
502,435,1
502,511,1
502,342,1
502,501,1
502,298,1
502,345,1
502,440,1
502,57,1
502,108,1
502,234,1
502,215,1
502,60,1
502,53,1
502,326,1
502,481,1
502,48,1
502,325,1
502,189,1
502,113,1
502,510,1
502,291,1
502,66,1
502,141,1
502,19,1
502,70,1
502,314,1
502,413,1
502,81,1
464,99,1
464,156,1
464,390,1
464,80,1
464,24,1
464,324,1
464,308,1
464,21,1
464,408,1
464,264,1
477,174,1
477,225,1
477,119,1
477,404,1
477,441,1
477,409,1
477,153,1
477,178,1
478,104,1
478,144,1
478,267,1
478,114,1
478,455,1
478,468,1
478,476,1
478,164,1
493,515,1
493,525,1
493,88,1
493,345,1
493,33,1
493,102,1
493,342,1
493,510,1
493,214,1
493,189,1
493,116,1
493,502,1
493,25,1
2,436,1
2,249,1
2,25,1
2,465,1
2,177,1
2,420,1
2,26,1
3,363,1
3,8,1
3,420,1
3,457,1
4,296,1
4,24,1
4,323,1
4,406,1
4,366,1
4,209,1
5,509,1
5,175,1
5,441,1
5,233,1
5,124,1
5,74,1
5,252,1
5,420,1
5,209,1
5,301,1
5,248,1
5,403,1
5,343,1
5,245,1
5,425,1
5,494,1
5,188,1
6,464,1
6,302,1
6,418,1
6,270,1
6,187,1
6,264,1
6,94,1
6,334,1
6,455,1
6,308,1
6,398,1
6,71,1
6,380,1
6,82,1
6,351,1
6,317,1
6,24,1
6,64,1
7,314,1
7,503,1
7,342,1
7,214,1
7,451,1
7,127,1
7,116,1
7,2,1
7,77,1
7,513,1
7,502,1
7,413,1
7,501,1
7,387,1
7,379,1
7,365,1
392,124,1
392,13,1
392,282,1
392,301,1
392,352,1
392,86,1
392,366,1
392,420,1
392,429,1
392,302,1
392,350,1
392,28,1
392,79,1
392,177,1
392,132,1
392,139,1
392,304,1
392,167,1
392,55,1
392,245,1
392,32,1
392,332,1
392,236,1
392,383,1
392,193,1
392,145,1
392,81,1
392,26,1
397,242,1
398,217,1
398,308,1
398,408,1
398,99,1
398,317,1
398,324,1
398,369,1
398,334,1
398,6,1
398,156,1
398,264,1
398,265,1
398,400,1
398,199,1
398,104,1
398,380,1
398,482,1
398,418,1
398,295,1
398,242,1
398,207,1
398,286,1
398,464,1
398,302,1
398,82,1
408,82,1
408,351,1
408,324,1
408,199,1
408,264,1
408,442,1
408,71,1
408,380,1
408,295,1
408,94,1
408,156,1
408,317,1
501,56,1
501,228,1
501,376,1
501,10,1
501,11,1
501,266,1
501,59,1
501,489,1
501,328,1
501,7,1
501,211,1
501,307,1
501,257,1
501,29,1
501,342,1
501,43,1
501,22,1
501,502,1
501,259,1
501,14,1
501,44,1
501,469,1
501,219,1
501,33,1
501,253,1
501,366,1
501,511,1
501,53,1
501,34,1
501,290,1
501,335,1
501,48,1
501,402,1
501,458,1
501,208,1
501,184,1
501,319,1
501,303,1
446,207,1
446,13,1
446,184,1
446,147,1
446,83,1
446,410,1
446,339,1
446,378,1
446,185,1
446,436,1
446,224,1
448,111,1
448,243,1
448,272,1
448,441,1
448,260,1
448,126,1
448,310,1
448,13,1
448,73,1
448,49,1
448,224,1
448,198,1
448,42,1
448,50,1
448,474,1
448,174,1
448,231,1
448,416,1
448,278,1
448,399,1
448,122,1
448,150,1
448,423,1
448,396,1
448,149,1
448,372,1
448,360,1
448,414,1
448,433,1
448,302,1
448,182,1
448,354,1
448,410,1
457,50,1
457,214,1
457,287,1
457,41,1
457,320,1
457,509,1
457,193,1
457,55,1
457,189,1
457,188,1
457,301,1
457,285,1
457,366,1
457,202,1
