source,target,value
0,340,1
0,510,1
0,410,1
0,281,1
0,215,1
0,386,1
0,254,1
1,410,1
1,378,1
1,6,1
1,187,1
463,70,1
463,264,1
463,294,1
463,481,1
500,128,1
500,450,1
500,296,1
500,373,1
500,144,1
500,44,1
500,115,1
500,393,1
500,386,1
500,478,1
500,374,1
500,282,1
500,156,1
501,450,1
501,240,1
501,40,1
501,393,1
501,369,1
501,43,1
501,200,1
501,326,1
501,282,1
501,134,1
501,355,1
501,404,1
501,24,1
501,71,1
501,183,1
501,44,1
501,508,1
501,303,1
501,89,1
501,526,1
501,492,1
501,434,1
501,510,1
501,341,1
501,500,1
501,297,1
501,344,1
501,439,1
501,56,1
501,107,1
501,233,1
501,214,1
501,59,1
501,52,1
501,325,1
501,480,1
501,47,1
501,324,1
501,188,1
501,112,1
501,509,1
501,290,1
501,65,1
501,140,1
501,18,1
501,69,1
501,313,1
501,412,1
501,80,1
463,98,1
463,155,1
463,389,1
463,79,1
463,23,1
463,323,1
463,307,1
463,20,1
463,407,1
463,263,1
476,173,1
476,224,1
476,118,1
476,403,1
476,440,1
476,408,1
476,152,1
476,177,1
477,103,1
477,143,1
477,266,1
477,113,1
477,454,1
477,467,1
477,475,1
477,163,1
492,514,1
492,524,1
492,87,1
492,344,1
492,32,1
492,101,1
492,341,1
492,509,1
492,213,1
492,188,1
492,115,1
492,501,1
492,24,1
1,435,1
1,248,1
1,24,1
1,464,1
1,176,1
1,419,1
1,25,1
2,362,1
2,7,1
2,419,1
2,456,1
3,295,1
3,23,1
3,322,1
3,405,1
3,365,1
3,208,1
4,508,1
4,174,1
4,440,1
4,232,1
4,123,1
4,73,1
4,251,1
4,419,1
4,208,1
4,300,1
4,247,1
4,402,1
4,342,1
4,244,1
4,424,1
4,493,1
4,187,1
5,463,1
5,301,1
5,417,1
5,269,1
5,186,1
5,263,1
5,93,1
5,333,1
5,454,1
5,307,1
5,397,1
5,70,1
5,379,1
5,81,1
5,350,1
5,316,1
5,23,1
5,63,1
6,313,1
6,502,1
6,341,1
6,213,1
6,450,1
6,126,1
6,115,1
6,1,1
6,76,1
6,512,1
6,501,1
6,412,1
6,500,1
6,386,1
6,378,1
6,364,1
391,123,1
391,12,1
391,281,1
391,300,1
391,351,1
391,85,1
391,365,1
391,419,1
391,428,1
391,301,1
391,349,1
391,27,1
391,78,1
391,176,1
391,131,1
391,138,1
391,303,1
391,166,1
391,54,1
391,244,1
391,31,1
391,331,1
391,235,1
391,382,1
391,192,1
391,144,1
391,80,1
391,25,1
396,241,1
397,216,1
397,307,1
397,407,1
397,98,1
397,316,1
397,323,1
397,368,1
397,333,1
397,5,1
397,155,1
397,263,1
397,264,1
397,399,1
397,198,1
397,103,1
397,379,1
397,481,1
397,417,1
397,294,1
397,241,1
397,206,1
397,285,1
397,463,1
397,301,1
397,81,1
407,81,1
407,350,1
407,323,1
407,198,1
407,263,1
407,441,1
407,70,1
407,379,1
407,294,1
407,93,1
407,155,1
407,316,1
500,55,1
500,227,1
500,375,1
500,9,1
500,10,1
500,265,1
500,58,1
500,488,1
500,327,1
500,6,1
500,210,1
500,306,1
500,256,1
500,28,1
500,341,1
500,42,1
500,21,1
500,501,1
500,258,1
500,13,1
500,43,1
500,468,1
500,218,1
500,32,1
500,252,1
500,365,1
500,510,1
500,52,1
500,33,1
500,289,1
500,334,1
500,47,1
500,401,1
500,457,1
500,207,1
500,183,1
500,318,1
500,302,1
445,206,1
445,12,1
445,183,1
445,146,1
445,82,1
445,409,1
445,338,1
445,377,1
445,184,1
445,435,1
445,223,1
447,110,1
447,242,1
447,271,1
447,440,1
447,259,1
447,125,1
447,309,1
447,12,1
447,72,1
447,48,1
447,223,1
447,197,1
447,41,1
447,49,1
447,473,1
447,173,1
447,230,1
447,415,1
447,277,1
447,398,1
447,121,1
447,149,1
447,422,1
447,395,1
447,148,1
447,371,1
447,359,1
447,413,1
447,432,1
447,301,1
447,181,1
447,353,1
447,409,1
456,49,1
456,213,1
456,286,1
456,40,1
456,319,1
456,508,1
456,192,1
456,54,1
456,188,1
456,187,1
456,300,1
456,284,1
456,365,1
456,201,1
456,46,1
456,308,1
456,23,1
456,446,1
456,25,1
456,183,1
456,57,1
456,312,1
456,59,1
456,331,1
456,301,1
456,295,1
456,453,1
456,235,1
456,501,1
456,429,1
456,248,1
456,96,1
456,250,1
456,382,1
456,310,1
456,31,1
456,341,1
456,166,1
456,144,1
456,340,1
456,303,1
456,495,1
456,348,1
456,253,1
456,2,1
456,460,1
456,275,1
456,412,1
456,437,1
456,240,1
456,176,1
456,131,1
456,322,1
456,428,1
463,454,1
463,417,1
463,368,1
463,333,1
463,350,1
463,358,1
407,23,1
407,301,1
407,307,1
407,103,1
407,463,1
407,417,1
407,397,1
407,98,1
407,333,1
407,63,1
407,421,1
407,206,1
407,216,1
412,402,1
412,439,1
412,480,1
412,386,1
412,14,1
412,109,1
412,325,1
412,215,1
412,107,1
412,254,1
412,462,1
412,47,1
412,18,1
412,281,1
412,418,1
412,85,1
412,220,1
412,24,1
412,295,1
412,365,1
412,80,1
412,213,1
412,57,1
412,348,1
412,378,1
412,120,1
412,380,1
412,253,1
412,500,1
412,501,1
412,168,1
412,52,1
412,200,1
412,233,1
412,504,1
412,201,1
412,131,1
412,68,1
412,331,1
412,526,1
412,240,1
412,260,1
412,510,1
412,461,1
412,502,1
412,416,1
412,310,1
412,82,1
412,221,1
412,71,1
412,249,1
412,315,1
412,495,1
412,22,1
412,492,1
412,400,1
412,344,1
412,127,1
412,404,1
412,56,1
412,6,1
412,59,1
412,364,1
412,508,1
412,341,1
412,403,1
412,96,1
412,448,1
412,303,1
412,456,1
412,405,1
412,334,1
412,183,1
412,184,1
412,319,1
412,101,1
412,503,1
412,450,1
418,214,1
418,412,1
418,141,1
418,184,1
418,295,1
418,57,1
418,85,1
418,495,1
418,201,1
418,83,1
418,248,1
418,254,1
418,301,1
418,325,1
418,508,1
418,173,1
418,501,1
418,445,1
418,324,1
418,23,1
418,403,1
418,47,1
418,416,1
418,310,1
418,435,1
418,404,1
418,221,1
418,59,1
418,331,1
418,27,1
418,437,1
418,185,1
418,253,1
418,426,1
445,320,1
445,346,1
445,268,1
445,24,1
445,83,1
445,418,1
445,185,1
445,253,1
463,95,1
463,379,1
463,397,1
463,269,1
463,198,1
463,5,1
463,193,1
463,301,1
463,399,1
463,216,1
463,51,1
463,93,1
463,81,1
463,35,1
463,63,1
463,206,1
463,316,1
492,253,1
492,401,1
492,412,1
492,495,1
492,42,1
492,508,1
492,154,1
492,112,1
492,450,1
492,274,1
492,489,1
492,96,1
492,479,1
492,52,1
500,191,1
501,213,1
501,101,1
501,273,1
501,502,1
501,464,1
501,315,1
501,78,1
501,495,1
501,405,1
501,108,1
501,82,1
501,220,1
501,386,1
501,218,1
501,426,1
501,418,1
501,331,1
501,248,1
501,85,1
501,489,1
512,521,1
512,464,1
512,378,1
512,405,1
512,8,1
512,460,1
512,324,1
512,141,1
512,78,1
512,6,1
512,49,1
512,173,1
513,433,1
513,50,1
513,27,1
513,359,1
513,49,1
513,157,1
513,16,1
513,121,1
513,246,1
513,354,1
513,314,1
513,77,1
513,352,1
513,135,1
513,189,1
513,473,1
513,271,1
513,38,1
513,72,1
513,330,1
513,29,1
513,96,1
513,222,1
513,261,1
513,484,1
513,153,1
513,67,1
513,62,1
513,64,1
513,490,1
513,466,1
513,181,1
513,162,1
513,111,1
513,470,1
513,280,1
513,337,1
520,97,1
7,338,1
7,146,1
7,416,1
7,168,1
7,2,1
7,460,1
7,244,1
7,235,1
7,428,1
7,435,1
7,274,1
8,512,1
8,455,1
8,460,1
8,324,1
8,78,1
9,190,1
9,156,1
13,92,1
13,510,1
13,23,1
13,210,1
13,144,1
13,33,1
13,254,1
13,128,1
13,505,1
13,124,1
13,156,1
13,47,1
13,74,1
13,256,1
13,313,1
13,213,1
13,386,1
13,15,1
13,363,1
13,341,1
13,465,1
13,478,1
14,23,1
14,365,1
14,508,1
14,141,1
14,412,1
14,310,1
14,215,1
14,315,1
14,502,1
14,295,1
14,254,1
14,366,1
15,373,1
15,375,1
12,242,1
12,168,1
12,232,1
12,343,1
12,131,1
12,240,1
12,49,1
12,138,1
12,144,1
12,439,1
12,464,1
12,176,1
12,184,1
12,27,1
12,445,1
12,429,1
9,147,1
10,334,1
10,289,1
10,296,1
10,327,1
10,272,1
10,313,1
10,457,1
10,47,1
10,302,1
10,480,1
10,273,1
10,374,1
10,126,1
10,393,1
10,500,1
10,43,1
10,210,1
10,107,1
10,52,1
10,219,1
10,207,1
10,255,1
10,450,1
10,44,1
10,390,1
